Titre,auteur,Genre,publication,Payslivre,Affiche,film,Réalisateur,Producteur,sortiefilm,Paysfilm,Ratings
Alice's Adventures In Wonderland,Lewis Caroll,Conte,1865,UK,http://www.imdb.com/media/rm2555955456/tt0043274?ref_=tt_ov_i,Alice in Wonderland,Hamilton Lukes,Walt Disney,1995,USA,"7,4"
Alice's Adventures In Wonderland,Lewis Caroll,Conte,1865,UK,http://www.imdb.com/media/rm1086033408/tt1014759?ref_=tt_ov_i,Alice in Wonderland,Tim Burton ,Walt Disney,2010,USA,"6,5"
La Belle et la Bête,Jeanne-Marie Leprince De Beaumont,Conte,1757,France,http://i43.tower.com/images/mm100597787/beauty-beast-diary-film-jean-cocteau-paperback-cover-art.jpg,La belle et la bête,Jean Cocteau,DisCina,1946,France,8
La Belle et la Bête,Jeanne-Marie Leprince De Beaumont,Conte,1757,France,http://img3.wikia.nocookie.net/__cb20101223180859/disney/images/2/23/BeautyandtheBeast1992VHSCover.jpg,Beauty and the Beast,"Gary Trousdale, Kirk Wise",Walt Disney,1991,USA,"8,1"
La Belle et la Bête,Jeanne-Marie Leprince De Beaumont,Conte,1757,France,http://www.imdb.com/media/rm2845505536/tt2316801?ref_=tt_ov_i,La belle et la bête,Christophe Gans,Pathé | TF1 Films Production,2014,France,"6,5"
Notre dame de Paris,Victor Hugo,Drama | Historique,1831,France,http://www.imdb.com/media/rm3035405312/tt0050781?ref_=tt_ov_i,Notre-Dame de Paris,Jean Delannoy,Panitalia | Paris Film Productions,1956,France,"6,8"
Notre dame de Paris,Victor Hugo,Drama | Historique,1831,France,http://www.imdb.com/media/rm33529344/tt0116583?ref_=ttmd_md_nxt,The Hunchback of Notre-Dame," Gary Trousdale, Kirk Wise",Walt Disney,1996,USA,"6,9"
Peter and Wendy,J.M Barrie,Aventure,1911,UK,http://www.imdb.com/media/rm4270959616/tt0046183?ref_=tt_ov_i,Peter Pan,Clyde Geronimi / Wilfred Jackson / Hamilton Luske,Walt Disney,1953,USA,"7,4"
Peter and Wendy,J.M Barrie,Aventure,1911,UK,http://www.imdb.com/media/rm3643971584/tt0316396?ref_=tt_ov_i,Peter Pan,P.J Hogan, Universal Pictures,2003,USA,"6,9"
La belle au bois dormant,Charles Perrault,Conte,1697,France,N/A,La belle au bois dormant,Stéphane Passet,Azur,1922,France,"7,8"
La belle au bois dormant,Charles Perrault,Conte,1697,France,http://www.imdb.com/media/rm1970312704/tt0053285?ref_=tt_ov_i,Sleeping beauty,Clyde Geronimi,Walt Disney,1959,USA,"7,4"
La belle au bois dormant,Charles Perrault,Conte,1697,France,http://www.imdb.com/media/rm2488531712/tt1587310?ref_=tt_ov_i,Maleficent,Robert Stromberg,Walt Disney,2014,USA,"7,1"
The Lord of the Rings - the Fellowship of the ring,J.R.R Tolkien,Fantasy,1954,UK,http://www.imdb.com/media/rm896831232/tt0120737?ref_=tt_ov_i,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,New Line Cinema,2001,USA,"8,8"
The Lord of the Rings - the Fellowship of the ring,J.R.R Tolkien,Fantasy,1954,UK,http://ia.media-imdb.com/images/M/MV5BMTcxMzU2MDc5Ml5BMl5BanBnXkFtZTcwMjUxNDcyMg@@._V1_SX214_AL_.jpg,The Lord of the Rings,Ralph Bakshi,Fantasy Films,1978,USA,"6,1"
The Lord of the Rings - The Two Towers,J.R.R Tolkien,Fantasy,1955,UK,http://www.imdb.com/media/rm1064868096/tt0167261?ref_=tt_ov_i,The Lord of the Rings: The Two Towers,Peter Jackson,New Line Cinema,2002,USA,"8,8"
The Lord of the Rings: The Return of the King,J.R.R Tolkien,Fantasy,1955,UK,http://www.imdb.com/media/rm3623329024/tt0167260?ref_=tt_ov_i,The Lord of the Rings: The Return of the King,Peter Jackson,New Line Cinema,2003,USA,"8,9"
"La Guerre des boutons, roman de ma douzième année ",Louis Pergaud,Fiction,1912,France,http://www.cinema-francais.fr/images/affiches/affiches_r/affiches_robert_yves/la_guerre_des_boutons01.jpg,La guerre des boutons,Yves Robert,Les Productions de la Guéville,1962,France,"7,5"
"La Guerre des boutons, roman de ma douzième année ",Louis Pergaud,Fiction,1912,France,http://fr.web.img5.acsta.net/medias/nmedia/18/85/48/31/19797466.jpg,La nouvelle guerre des boutons,Christophe Barratier,La Petite Reine | TF1 Films Production,2011,France,6
"La Guerre des boutons, roman de ma douzième année ",Louis Pergaud,Fiction,1912,France,http://www.allocine.fr/film/fichefilm-188649/photos/detail/?cmediafile=19775518,La guerre des boutons,Yann Samuell,One World Films | TF1 Films Production,2011,France,"6,3"
Dracula,Bram Stoker,Fantastique,1897,UK,http://www.imdb.com/media/rm520277760/tt0013442?ref_=tt_ov_i,Nosferatu le vampire,F.W. Murnau,Jofa-Atelier Berlin-Johannisthal ,1922,Allemagne,8
Dracula,Bram Stoker,Fantastique,1897,UK,http://www.imdb.com/media/rm827509760/tt0829150?ref_=tt_ov_i,Dracula Untold,Gary Shore,Universal Pictures,2014,USA,"6,3"
Dracula,Bram Stoker,Fantastique,1897,UK,http://www.imdb.com/media/rm3327707392/tt0021814?ref_=tt_ov_i,Dracula,Tod Browning,Universal Pictures,1931,USA,"7,7"
Dracula,Bram Stoker,Fantastique,1897,UK,http://www.imdb.com/media/rm1119853824/tt0079073?ref_=tt_ov_i,Dracula,John Badham,Universal Pictures,1979,USA,"6,4"
Dracula,Bram Stoker,Fantastique,1897,UK,http://www.imdb.com/media/rm3477181184/tt0103874?ref_=tt_ov_i,Dracula,Francis Ford Coppola,Columbia Pictures,1992,USA,"7,5"
Dracula,Bram Stoker,Fantastique,1897,UK,http://www.imdb.com/media/rm2684918784/tt0219653?ref_=tt_ov_i,Dracula 2000,Patrick Lussier,Dimension Films,2000,USA,"4,9"
Dracula,Bram Stoker,Fantastique,1897,UK,http://www.imdb.com/media/rm1592188672/tt1852770?ref_=tt_ov_i,Dracula 3D,Dario Argento,Enrique Cerezo Producciones Cinematográficas S.A.,2012,Italie,"3,6"
Dracula,Bram Stoker,Fantastique,1897,UK,http://www.imdb.com/media/rm1222220800/tt0021815?ref_=tt_ov_i,Drácula,George Melford,Universal Pictures,1931,USA | Espagne,"7,2"
Dracula,Bram Stoker,Fantastique,1897,UK,http://www.imdb.com/media/rm3314457856/tt0051554?ref_=tt_ov_i,Dracula,Terence Fisher,Hammer Film Productions,1958,UK,"7,5"
Dracula,Bram Stoker,Fantastique,1897,UK,http://www.imdb.com/media/rm4172061952/tt0112896?ref_=tt_ov_i,Dracula: Dead and Loving It,Mel Brooks,Gaumont,1995,USA,"5,7"
Dracula,Bram Stoker,Fantastique,1897,UK,http://www.imdb.com/media/rm1358601216/tt0067713?ref_=tt_ov_i,Scars of Dracula,Roy Ward Baker,Hammer Film Productions,1970,UK,"6,3"
Dracula,Bram Stoker,Fantastique,1897,UK,http://www.imdb.com/media/rm4210007552/tt0071233?ref_=tt_ov_i,Blood for Dracula,Paul Morrissey,Compagnia Cinematografica Champion,1974,Italie,"6,2"
Dracula,Bram Stoker,Fantastique,1897,UK,http://www.imdb.com/media/rm1731105280/tt0065569?ref_=tt_ov_i,"Nachts, wenn Dracula erwacht",Jesús Franco,Filmar Compagnia Cinematografica,1970,Espagne | Allemagne,"5,8"
Dracula,Bram Stoker,Fantastique,1897,UK,http://www.imdb.com/media/rm4172269568/tt2543202?ref_=tt_ov_i,The Impaler,Derek Hockenbrough,Flawless Production,2013,USA,4
Dracula,Bram Stoker,Fantastique,1897,UK,http://www.imdb.com/media/rm1628281856/tt0037793?ref_=tt_ov_i,House of Dracula,Erle C. Kenton,Universal Pictures,1945,USA,"5,8"
Dracula,Bram Stoker,Fantastique,1897,UK,http://www.imdb.com/media/rm3373316864/tt0052131?ref_=tt_ov_i,The Return of Dracula,Paul Landres,Gramercy Pictures,1958,USA,"5,6"
Dracula,Bram Stoker,Fantastique,1897,UK,http://www.imdb.com/media/rm1317444608/tt0079641?ref_=tt_ov_i,Nosferatu: Phantom der Nacht,Werner Herzog,Werner Herzog Filmproduktion,1979,RFA,"7,6"
The Great Gatsby,F. Scott Fitzgerald,Drama,1925,USA,https://pamhutch.files.wordpress.com/2013/05/tumblr_mavbc3hthi1qzn0deo1_500.jpg,The Great Gatsby,Herbert Brenon,Famous Players-Lasky Corporation,1926,USA,7
The Great Gatsby,F. Scott Fitzgerald,Drama,1925,USA,http://www.imdb.com/media/rm2643435776/tt1343092?ref_=tt_ov_i,The Great Gatsby,Baz Luhrmann,Warner Bros.,2013,USA,"7,3"
Millenium,Stieg Larsson,Thriller,2005,Suède,http://www.imdb.com/media/rm3749416704/tt1132620?ref_=tt_ov_i,Män som hatar kvinnor,Niels Arden Oplev,Yellow Bird,2009,Suéde,"7,8"
Millenium,Stieg Larsson,Thriller,2005,Suède,http://www.imdb.com/media/rm1878306816/tt1568346?ref_=tt_ov_i,The Girl with the Dragon Tattoo,David Fincher,Columbia Pictures,2011,USA,"7,9"
La planète des singes,Pierre Boulle,Science-fiction,1963,France,http://www.imdb.com/media/rm3327645440/tt0063442?ref_=tt_ov_i,Planet of the Apes,Franklin Schaffner, 20th Century Fox Ranch,1968,USA,8
La planète des singes,Pierre Boulle,Science-fiction,1963,France,http://www.imdb.com/media/rm1796381696/tt0133152?ref_=tt_ov_i,Planet of the Apes,Tim Burton, 20th Century Fox Studios ,2001,USA,"5,7"
La planète des singes,Pierre Boulle,Science-fiction,1963,France,http://www.imdb.com/media/rm1767227136/tt1318514?ref_=tt_ov_i,Rise of the Planet of the Apes,Ruper Wyatt, 20th Century Fox Studios ,2011,USA,"7,6"
La planète des singes,Pierre Boulle,Science-fiction,1963,France,http://www.imdb.com/media/rm1894698240/tt2103281?ref_=tt_ov_i,Dawn of the Planet of the Apes,Matt Reeves,Chernin Entertainment,2014,USA,"7,9"
Les trois mousquetaires,Alexandre Dumas,Aventure,1844,France,N/A,I tre moschettieri,Mario Caserini,Società Italiana Cines,1909,Italie,"3,1"
Les trois mousquetaires,Alexandre Dumas,Aventure,1844,France,http://www.imdb.com/title/tt0040876/?ref_=ttco_co_tt,The Three Musketeers,George Sidney,Metro-Goldwyn-Mayer (MGM),1948,USA,"7,3"
Les trois mousquetaires,Alexandre Dumas,Aventure,1844,France,http://www.allocine.fr/film/fichefilm-3410/photos/detail/?cmediafile=19117324,Les 3 mousquetaires,André Hunebelle,Pathé ,1953,France,"6,2"
Les trois mousquetaires,Alexandre Dumas,Aventure,1844,France,http://www.allocine.fr/film/fichefilm-45009/photos/detail/?cmediafile=19117288,Les trois mousquetaires: Première époque - Les ferrets de la reine,Bernard Borderie, Films Borderie,1961,France,"6,5"
Les trois mousquetaires,Alexandre Dumas,Aventure,1844,France,http://www.imdb.com/media/rm3752566528/tt0108333?ref_=tt_ov_i,The Three Musketeers,Stephane Herek, Walt Disney,1993,Autriche | UK | USA,"6,3"
Les trois mousquetaires,Alexandre Dumas,Aventure,1844,France,http://www.imdb.com/media/rm564182528/tt1509767?ref_=tt_ov_i,The Three Musketeers,Paul W.S Anderson,Constantin Film Produktion,2011,Allemagne | France | UK | USA,"5,8"
L'Homme qui rit,Victor Hugo,Historique,1869,France,http://www.imdb.com/media/rm219925504/tt0019130?ref_=tt_ov_i,The Man Who Laughs,Paul Léni, Universal Pictures,1928,USA,"7,8"
L'Homme qui rit,Victor Hugo,Historique,1869,France,http://www.allocine.fr/film/fichefilm-194176/photos/detail/?cmediafile=20258994,L'homme qui rit,JP Améris,Incognita Films,2012,France,6
Jane Eyre, Charlotte Brontë,Romance,1847,UK,http://www.imdb.com/media/rm3557151744/tt0036969?ref_=tt_ov_i,Jane Eyre,Robert Stevenson,  20th Century Fox Studios,1943,USA,"7,6"
Jane Eyre, Charlotte Brontë,Romance,1847,UK,http://www.imdb.com/media/rm1392352512/tt0116684?ref_=tt_ov_i,Jane Eyre,Franco Zeffirelli,Cineritino S.r.L.,1996,France | Italie | UK | USA,"6,8"
Jane Eyre, Charlotte Brontë,Romance,1847,UK,http://www.imdb.com/media/rm4096362240/tt1229822?ref_=tt_ov_i,Jane Eyre,Cary Fukunaga," Focus Features, BBC Films",2011,UK | USA,"7,4"
I am Legend,Richard Matheson,Science-fiction,1954,USA,http://www.imdb.com/media/rm3899439616/tt0058700?ref_=tt_ov_i,The Last Man on Earth,Sidney Salkow,Produzioni La Regina,1964,Italie | USA,7
I am Legend,Richard Matheson,Science-fiction,1954,USA,http://www.imdb.com/media/rm1530765056/tt0067525?ref_=tt_ov_i,The Omega Man,Boris Sagal,Walter Seltzer Productions,1971,USA,"6,6"
I am Legend,Richard Matheson,Science-fiction,1954,USA,http://www.imdb.com/media/rm3970142208/tt0480249?ref_=tt_ov_i,I am legend,Francis Lawrence, Warner Bros.,2007,USA,"7,2"
Les liaisons dangereuses,Pierre Choderlos de Laclos,Drama | romance,1782,France,http://www.imdb.com/media/rm1998822400/tt0053002?ref_=tt_ov_i,Les liaisons dangereuses,Roger Vadim,Les Films Marceau-Cocinor,1959,Italie | France,"6,9"
